EmployerId,ClientTenure,Employees,Industry,NetworkStrength,ZipCode
409551605,3,10,I12,0.5073,14301
848679,27,22,I12,-0.1249,78229
664144005,5,168,I20,-0.0671,48529
604857,25,19,I27,0.7818,45429
128777227,6,12,I19,-0.4495,16335
666349493,1,15,,0.7903,30117
650413676,1,22,I11,0.1056,60603
804319,9,12,,0.4454,93103
639500,9,75,I27,0.3793,07734
495457,8,18,,0.6907,48350
118551617,9,12,I13,-0.0555,02110
600280,17,2,I07,-0.0701,15666
650460326,1,16,I11,0.5411,93063
693361,26,25,I22,0.1530,98124
580785700,12,57,I24,0.3918,10017
590664,26,10,I19,-0.0594,17522
183593195,21,27,I11,0.5766,43219
448209,10,6,I23,0.3866,55109
822538,15,3975,,0.4896,84111
697816503,20,2069,,0.4146,32082
807109,13,5,I23,0.2052,45241
469060288,25,2,I12,-1.5141,59101
474258,17,25,I20,0.5411,90033
616826127,1,75,I01,-0.1124,55435
613612,11,9,I01,0.2920,85251
304239398,4,64,I27,0.3413,78759
294177744,4,42,I02,0.6037,96704
626790,25,10,I22,-0.2097,15143
827082,16,9,I27,-0.4309,35202
650497703,1,10,,-0.3704,59901
401234985,3,16,,0.6770,92703
538251,7,12,I22,-0.1124,55414
673202,11,2,I27,0.0655,08722
204581358,5,23,I27,0.8483,92590
577497,11,176,I22,-0.1424,60061
577503,17,48,I20,0.1530,98106
761600,20,9,I23,0.4798,01073
252997273,42,222,I20,-0.8657,27260
687842,21,10,,0.4381,08077
562091,12,2,I22,-0.2378,01760
696430665,1,16,,0.6367,46601
689971491,16,57,I11,0.3413,78758
396304377,3,2,,0.4239,93711
619956549,15,58,I22,-0.6589,04102
208758115,5,10,,0.6770,92807
306714530,28,8,,0.1815,60532
684744926,1,10,,-0.1704,27511
430529871,3,11,I27,-0.2462,53151
325708831,4,6,I24,-0.0971,64116
708531,9,11,I23,0.6284,92121
845587,10,53,I20,0.5276,54603
149494223,19,96,I11,-0.0555,02116
552510,14,17,I20,0.5206,63932
630840946,1,358,I27,-0.3813,27889
425265149,3,80,I23,0.5281,45504
491509,7,17,,-0.1704,27609
716217,8,21,I20,-0.3149,40601
311511559,9,28,I12,0.2920,85022
629373,9,20,I23,0.5411,90017
636119055,16,87,I25,?,69145
486818,34,10,I16,0.8253,44136
445772,22,2,I13,0.3849,48170
246480012,20,56,I22,0.5733,12158
617679,22,2,I25,-0.1841,82935
662674,33,96,I13,0.5821,46204
94427560,6,5,I26,0.8537,94538
34713335,7,7,,0.3102,77450
349066732,4,149,I27,0.4195,83440
1694313,7,15,,0.8190,30309
443548211,3,17,I07,0.4146,32216
680337,13,20,I19,-0.6589,04122
621440554,1,33,I27,0.6770,92831
636119072,9,104,I25,-0.2850,69201
450424,9,20,I11,0.1183,08648
455349,32,42,,-0.2378,02493
175753041,20,151,I27,0.4868,97232
707550,23,3,I27,0.8067,48821
624780,13,36,I22,1.2193,43551
271103502,4,110,I24,0.6284,92120
653688,30,23,I23,0.2542,42304
289600134,4,20,I27,-0.1242,07631
423215649,27,30,I20,0.3200,37217
806289,28,99,I20,0.5923,45371
316376450,5,7,I09,0.9913,95765
23153220,7,27,I15,-0.4381,81506
5992864,7,14,I21,-0.7379,58208
527939,15,16,I20,0.2052,45050
204400710,5,4,I02,-0.2453,02190
527742,9,19,,-0.2462,53188
734642,22,6,I17,0.1815,60148
484644,24,56,I13,0.3918,10017
563496,25,2,I12,-0.5837,82070
768290,16,6,I09,0.6383,93907
539136,7,4,I21,-0.3161,58103
829801,13,11,I27,-0.2816,53717
625774191,25,17,I27,0.5411,90631
684631,25,12,I20,-1.2027,47025
719758,26,25,I15,0.6770,92835
732098,8,2,I11,0.5041,55331
277135461,4,8,I11,0.2225,21117
658390,10,2,I13,0.6887,96813
2255318,7,19,I20,-0.3161,58102
701481259,1,10,,0.0000,20759
331568371,4,11,I27,-0.2378,01852
790052,22,10,I16,0.4731,33610
571191228,2,44,I20,0.1530,98107
392303782,3,10,I22,-0.4994,24153
805238,26,9,I20,0.0034,48706
601832,12,45,I27,0.6859,48036
131117076,26,25,I13,0.8643,95864
659148435,4,21,I13,0.1056,60602
601289,8,36,I20,-0.5977,17109
570860,15,17,I27,0.2400,49022
557608291,2,56,I20,0.3381,46526
60663659,12,61,I24,-0.1424,60045
450764739,3,26,I12,0.0978,29615
573132,30,36,I01,0.3918,10022
508003,7,29,I15,0.2225,21237
624501119,1,205,,0.3200,37212
465565,7,14,I14,-0.3282,67063
99220066,17,66,I24,1.0284,30337
525854878,18,13,I11,0.7450,80123
445904279,5,59,,-0.0802,01588
618742621,27,823,I23,0.2681,87528
582351,23,11,I22,-0.1860,08876
497630497,2,8,I12,0.2946,07512
710488,17,23,I14,-0.3416,18049
397028022,10,29,I23,-0.5977,17109
626506,15,2,I11,?,04401
20102568,6,67,I26,-0.2294,58329
513148,7,4,I21,0.7129,48146
603466,8,31,I20,-0.4004,17345
633926681,1,28,,0.1905,08225
499677,14,3,I14,0.4332,22183
653639247,1,26,,-0.2416,76086
297069335,8,36,I03,0.8845,29210
494240,24,10,I24,-0.4597,61107
489108,20,13,I11,?,02860
495199783,2,54,,0.4332,95682
790219,9,70,I21,-0.2674,83002
566898359,11,176,I01,-0.6325,72211
680874,31,91,I22,0.1007,63132
601263492,1,43,,0.2819,23060
615839,29,13,I16,0.0655,08701
767951,23,50,I27,-0.5005,70601
347016222,4,28,I13,0.0389,85711
419877615,16,63,I22,-0.2378,01854
614565751,1,43,I26,0.5792,27834
745290,12,124,I20,-0.5545,73127
794874,21,4,I14,0.4933,10595
461597,9,34,I19,0.4332,22310
478920284,20,10,I09,-0.2453,02066
619523,30,22,I21,-0.6589,04122
656628018,30,117,I13,0.1530,98101
456555196,11,155,I26,2.3050,57716
685351,7,43,I27,0.0670,56537
555473,8,45,I18,-2.1151,70037
473706,8,5,I03,-0.4178,29577
381451931,3,53,I16,0.4125,95038
144273854,13,2,I15,0.2655,55306
639831,9,2,,-0.0333,06032
692022,15,30,,-0.2378,02459
562063,32,179,I16,0.1839,14534
781181,9,15,I16,-0.2225,50461
701193,16,8,I13,0.3200,37219
529591,30,4,I20,0.5114,97132
451295,7,4,I12,-1.2589,28806
566465678,2,41,,0.5821,46204
668042,21,12,I15,-0.2462,53018
639788605,1,105,,0.2475,32092
293993659,4,10,I12,0.1490,75252
821883,32,10,I16,0.1354,96793
597150,8,18,I08,0.4798,01089
671597645,1,39,,-0.0188,01960
220434864,5,14,I24,0.5768,11801
157780935,6,10,I24,0.2965,20901
339605934,28,71,I07,-0.3000,50704
525887,7,54,I22,0.6284,92106
592235,28,35,I27,0.2923,20017
532732,13,17,I25,-0.9347,78504
772989,9,1409,I27,-0.1704,27601
667985651,1,5,,0.5411,91746
274052000,18,90,I19,0.6996,80538
618858419,1,10,I13,0.3918,10005
694043,7,27,I22,-0.1406,60123
784067,16,55,I20,-0.3875,50801
598475,28,33,I20,-0.0594,17543
509732597,33,12,I12,0.4332,22033
319410956,4,641,I27,0.5411,23225
669514,24,5,I27,0.0031,19317
702289,16,198,I02,0.1056,60661
737584,14,41,I20,0.1882,64132
