zip,city,latitude,longitude,fips,county,population,state,cbsa,cbsa_name
00210,Portsmouth,43.005895,-71.013202,33015,Rockingham County,295223,NH,14460,Boston-Cambridge-Newton
00211,Portsmouth,43.005895,-71.013202,33015,Rockingham County,295223,NH,14460,Boston-Cambridge-Newton
00212,Portsmouth,43.005895,-71.013202,33015,Rockingham County,295223,NH,14460,Boston-Cambridge-Newton
00213,Portsmouth,43.005895,-71.013202,33015,Rockingham County,295223,NH,14460,Boston-Cambridge-Newton
00214,Portsmouth,43.005895,-71.013202,33015,Rockingham County,295223,NH,14460,Boston-Cambridge-Newton
00215,Portsmouth,43.005895,-71.013202,33015,Rockingham County,295223,NH,14460,Boston-Cambridge-Newton
00501,Holtsville,40.922326,-72.637078,36103,Suffolk County,1493350,NY,35620,New York-Newark-Jersey City
00544,Holtsville,40.922326,-72.637078,36103,Suffolk County,1493350,NY,35620,New York-Newark-Jersey City
01001,Agawam,42.07061,-72.62029,25013,Hampden County,463490,MA,44140,Springfield
01002,Amherst,42.377651,-72.50323,25015,Hampshire County,158080,MA,44140,Springfield
01003,Amherst,42.369562,-72.63599,25015,Hampshire County,158080,MA,44140,Springfield
01004,Amherst,42.384494,-72.513183,25015,Hampshire County,158080,MA,44140,Springfield
01005,Barre,42.412094,-72.10443,25027,Worcester County,798552,MA,49340,Worcester
01007,Belchertown,42.278424,-72.411,25015,Hampshire County,158080,MA,44140,Springfield
01008,Blandford,42.174313,-72.94828,25013,Hampden County,463490,MA,44140,Springfield
01009,Bondsville,42.206092,-72.340486,25013,Hampden County,463490,MA,44140,Springfield
01010,Brimfield,42.126038,-72.20552,25013,Hampden County,463490,MA,44140,Springfield
01011,Chester,42.271442,-73.01958,25003,Berkshire County,131219,MA,38340,Pittsfield
01012,Chesterfield,42.390836,-72.84356,25015,Hampshire County,158080,MA,44140,Springfield
01013,Chicopee,42.161492,-72.60316,25013,Hampden County,463490,MA,44140,Springfield
01014,Chicopee,42.170731,-72.604842,25013,Hampden County,463490,MA,44140,Springfield
01020,Chicopee,42.175992,-72.57265,25013,Hampden County,463490,MA,44140,Springfield
01021,Chicopee,42.170731,-72.604842,25013,Hampden County,463490,MA,44140,Springfield
01022,Chicopee,42.196666,-72.55606,25013,Hampden County,463490,MA,44140,Springfield
01026,Cummington,42.465041,-72.91813,25015,Hampshire County,158080,MA,44140,Springfield
01027,Easthampton,42.27279,-72.68677,25015,Hampshire County,158080,MA,44140,Springfield
01028,East Longmeadow,42.066795,-72.5102,25013,Hampden County,463490,MA,44140,Springfield
01029,East Otis,42.175896,-73.04204,25003,Berkshire County,131219,MA,38340,Pittsfield
01030,Feeding Hills,42.070774,-72.67248,25013,Hampden County,463490,MA,44140,Springfield
01031,Gilbertville,42.33071,-72.18833,25027,Worcester County,798552,MA,49340,Worcester
01032,Goshen,42.45792,-72.81551,25015,Hampshire County,158080,MA,44140,Springfield
01033,Granby,42.254563,-72.51831,25015,Hampshire County,158080,MA,44140,Springfield
01034,Granville,42.086224,-72.94464,25013,Hampden County,463490,MA,44140,Springfield
01035,Hadley,42.35549,-72.5733,25015,Hampshire County,158080,MA,44140,Springfield
01036,Hampden,42.064703,-72.41735,25013,Hampden County,463490,MA,44140,Springfield
01037,Hardwick,42.374202,-72.19524,25027,Worcester County,798552,MA,49340,Worcester
01038,Hatfield,42.375155,-72.60832,25015,Hampshire County,158080,MA,44140,Springfield
01039,Haydenville,42.381475,-72.69259,25015,Hampshire County,158080,MA,44140,Springfield
01040,Holyoke,42.201891,-72.6242,25013,Hampden County,463490,MA,44140,Springfield
01041,Holyoke,42.170731,-72.604842,25013,Hampden County,463490,MA,44140,Springfield
01050,Huntington,42.290209,-72.87942,25015,Hampshire County,158080,MA,44140,Springfield
01053,Leeds,42.353105,-72.70206,25015,Hampshire County,158080,MA,44140,Springfield
01054,Leverett,42.479839,-72.49879,25011,Franklin County,71372,MA,24640,Greenfield Town
01056,Ludlow,42.174893,-72.47068,25013,Hampden County,463490,MA,44140,Springfield
01057,Monson,42.089269,-72.317,25013,Hampden County,463490,MA,44140,Springfield
01059,North Amherst,42.369562,-72.63599,25015,Hampshire County,158080,MA,44140,Springfield
01060,Northampton,42.324539,-72.63561,25015,Hampshire County,158080,MA,44140,Springfield
01061,Northampton,42.369562,-72.63599,25015,Hampshire County,158080,MA,44140,Springfield
01062,Florence,42.324232,-72.67915,25015,Hampshire County,158080,MA,44140,Springfield
01063,Northampton,42.317939,-72.640234,25015,Hampshire County,158080,MA,44140,Springfield
01066,North Hatfield,42.406697,-72.633901,25015,Hampshire County,158080,MA,44140,Springfield
01068,Oakham,42.349769,-72.04413,25027,Worcester County,798552,MA,49340,Worcester
01069,Palmer,42.176401,-72.32646,25013,Hampden County,463490,MA,44140,Springfield
01070,Plainfield,42.515853,-72.91661,25015,Hampshire County,158080,MA,44140,Springfield
01071,Russell,42.165931,-72.85153,25013,Hampden County,463490,MA,44140,Springfield
01072,Shutesbury,42.486027,-72.42208,25011,Franklin County,71372,MA,24640,Greenfield Town
01073,Southampton,42.223885,-72.72777,25015,Hampshire County,158080,MA,44140,Springfield
01074,South Barre,42.375998,-72.149388,25027,Worcester County,798552,MA,49340,Worcester
01075,South Hadley,42.234891,-72.58243,25015,Hampshire County,158080,MA,44140,Springfield
01077,Southwick,42.05283,-72.76966,25013,Hampden County,463490,MA,44140,Springfield
01079,Thorndike,42.192892,-72.329574,25013,Hampden County,463490,MA,44140,Springfield
01080,Three Rivers,42.180563,-72.36518,25013,Hampden County,463490,MA,44140,Springfield
01081,Wales,42.058024,-72.22517,25013,Hampden County,463490,MA,44140,Springfield
01082,Ware,42.270611,-72.26067,25015,Hampshire County,158080,MA,44140,Springfield
01083,Warren,42.20468,-72.20259,25027,Worcester County,798552,MA,49340,Worcester
