EmployerId,Offered,Status
363773443,ProductX,Lost
186941116,ProductX,Lost
511147993,ProductX,Lost
46777684,ProductX,Lost
115068663,ProductX,Lost
673771305,ProductX,Lost
628194837,ProductX,Lost
699182992,ProductX,Sold
445944,ProductX,Lost
509983382,ProductX,Lost
589766893,ProductX,Lost
603676360,ProductX,Lost
512262,ProductX,Lost
609037334,ProductX,Lost
556763,ProductX,Lost
695654073,ProductX,Sold
270638897,ProductX,Lost
792227,ProductX,Lost
652956,ProductX,Lost
479659,ProductX,Lost
21733592,ProductX,Lost
420935428,ProductX,Lost
392635177,ProductX,Lost
688300033,ProductX,Lost
274489039,ProductX,Sold
629803,ProductX,Lost
578399632,ProductX,Lost
269778799,ProductX,Lost
690926401,ProductX,Lost
472946,ProductX,Lost
721679,ProductX,Lost
507293,ProductX,Lost
306835575,ProductX,Lost
702062,ProductX,Lost
693209689,ProductX,Lost
361530666,ProductX,Sold
440635,ProductX,Lost
650278209,ProductX,Sold
627586,ProductX,Lost
682048543,ProductX,Lost
525647,ProductX,Lost
617634,ProductX,Lost
386662269,ProductX,Sold
475131,ProductX,Lost
615780097,ProductX,Lost
641031,ProductX,Lost
468005,ProductX,Lost
650552527,ProductX,Lost
546233312,ProductX,Lost
265788730,ProductX,Lost
698590746,ProductX,Lost
44725365,ProductX,Lost
835587,ProductX,Sold
678495,ProductX,Lost
464574884,ProductX,Lost
220318565,ProductX,Lost
675909339,ProductX,Lost
670609601,ProductX,Sold
585956,ProductX,Lost
362969202,ProductX,Sold
287563480,ProductX,Lost
694181381,ProductX,Lost
562493,ProductX,Lost
298003187,ProductX,Lost
557644,ProductX,Lost
446319401,ProductX,Sold
521170,ProductX,Lost
576151827,ProductX,Lost
568880441,ProductX,Lost
747676,ProductX,Lost
625849411,ProductX,Lost
520562647,ProductX,Lost
536732694,ProductX,Sold
553813380,ProductX,Lost
470408,ProductX,Lost
348736537,ProductX,Lost
566256676,ProductX,Lost
723787,ProductX,Lost
528336550,ProductX,Lost
518759322,ProductX,Sold
103548342,ProductX,Lost
252054056,ProductX,Lost
742463,ProductX,Lost
538935709,ProductX,Lost
866690,ProductX,Lost
490247038,ProductX,Lost
579439432,ProductX,Lost
610321647,ProductX,Lost
133103728,ProductX,Lost
677227762,ProductX,Sold
67082664,ProductX,Lost
466389,ProductX,Lost
638821665,ProductX,Lost
385155059,ProductX,Sold
811624,ProductX,Lost
555836275,ProductX,Lost
266427298,ProductX,Sold
623693004,ProductX,Lost
679502,ProductX,Sold
644531058,ProductX,Lost
125064557,ProductX,Lost
372311025,ProductX,Lost
441206,ProductX,Lost
710056948,ProductX,Lost
132592681,ProductX,Lost
358080779,ProductX,Lost
568476210,ProductX,Lost
587362,ProductX,Lost
575797672,ProductX,Sold
514432530,ProductX,Lost
596381,ProductX,Lost
664292,ProductX,Lost
558296288,ProductX,Lost
818412,ProductX,Sold
375666935,ProductX,Lost
495133725,ProductX,Lost
441350184,ProductX,Sold
161056833,ProductX,Lost
699735,ProductX,Lost
650033140,ProductX,Lost
683131909,ProductX,Lost
701545,ProductX,Lost
657074220,ProductX,Sold
513422367,ProductX,Sold
616274,ProductX,Lost
566287770,ProductX,Lost
666791416,ProductX,Sold
640267,ProductX,Lost
753974,ProductX,Lost
737596,ProductX,Lost
411881268,ProductX,Lost
654530,ProductX,Lost
469221196,ProductX,Sold
541418709,ProductX,Lost
694479812,ProductX,Lost
24510942,ProductX,Lost
632343,ProductX,Lost
121897354,ProductX,Lost
656580673,ProductX,Sold
706056,ProductX,Lost
269590117,ProductX,Lost
630225043,ProductX,Sold
474710,ProductX,Lost
529882133,ProductX,Sold
172193200,ProductX,Sold
719242,ProductX,Lost
478605151,ProductX,Lost
212765942,ProductX,Lost
371020793,ProductX,Lost
536298300,ProductX,Lost
827885,ProductX,Lost
257030503,ProductX,Lost
646895,ProductX,Lost
254099926,ProductX,Lost
245813207,ProductX,Lost
163252825,ProductX,Lost
254481867,ProductX,Sold
528301,ProductX,Lost
650278288,ProductX,Lost
2204244,ProductX,Lost
554986859,ProductX,Lost
452440172,ProductX,Lost
517210,ProductX,Sold
205430146,ProductX,Lost
578519874,ProductX,Lost
353144806,ProductX,Lost
651701519,ProductX,Lost
269476973,ProductX,Lost
514629169,ProductX,Lost
27348859,ProductX,Lost
777883,ProductX,Lost
688622601,ProductX,Lost
592951135,ProductX,Lost
650365445,ProductX,Lost
594270217,ProductX,Sold
642721,ProductX,Lost
752230,ProductX,Lost
659175491,ProductX,Sold
649594155,ProductX,Lost
313039711,ProductX,Lost
696861501,ProductX,Lost
56317360,ProductX,Sold
